sku,price,qty,discount_percent,tax_percent,scheme_quantity,uom,ptr,mrp,hsn_code
BKH0012,1,1,,12,,,,,
MBB0103,1,1,,12,,,,,
MBB0104,1,1,,12,,,,,
MBABC0003,1,1,,12,,,,,
MBABC0004,1,1,,12,,,,,
MBABC0008,1,1,,12,,,,,
MBABC0011,1,1,,12,,,,,
MBABC0012,1,1,,12,,,,,
MBABC0013,1,1,,12,,,,,
MBABC0019,1,1,,12,,,,,
MBB0029,1,1,,12,,,,,
MBB0030,1,1,,12,,,,,
MBBH0002,1,1,,12,,,,,
MBBH0003,1,1,,12,,,,,
MBBH0004,1,1,,12,,,,,
MBBH0005,1,1,,12,,,,,
MBBH0006,1,1,,12,,,,,
MBBH0007,1,1,,12,,,,,
MBBH0008,1,1,,12,,,,,
MBBH0009,1,1,,12,,,,,
MBBH0010,1,1,,12,,,,,
MBBH0011,1,1,,12,,,,,
MBBH0012,1,1,,12,,,,,
MBBH0013,1,1,,12,,,,,
MBBH0014,1,1,,12,,,,,
MBBH0015,1,1,,12,,,,,
MBBH0016,1,1,,12,,,,,
MBBH0017,1,1,,12,,,,,
MBBH0018,1,1,,12,,,,,
MBBH0019,1,1,,12,,,,,
MBBH0023,1,1,,12,,,,,
MBBH0024,1,1,,12,,,,,
MBBH0025,1,1,,12,,,,,
MBBH0026,1,1,,12,,,,,
MBBH0027,1,1,,12,,,,,
MBBH0028,1,1,,12,,,,,
MBBH0029,1,1,,12,,,,,
MBBH0030,1,1,,12,,,,,
MBBH0031,1,1,,12,,,,,
MBBH0032,1,1,,12,,,,,
MBBI0066,1,1,,12,,,,,
MBBI0067,1,1,,12,,,,,
MBBI0070,1,1,,12,,,,,
MBBI0071,1,1,,12,,,,,
MBBI0134,1,1,,12,,,,,
MBC0012,1,1,,12,,,,,
MBC0015,1,1,,12,,,,,
MBCLM0272,1,1,,12,,,,,
MBCLM0291,1,1,,12,,,,,
MBCLM0338,1,1,,12,,,,,
MBCND250295000000017,1,1,,12,,,,,
MBCSSU0053,1,1,,12,,,,,
MBCSSU0088,1,1,,12,,,,,
MBCSSU0150,1,1,,12,,,,,
MBDT0095,1,1,,12,,,,,
MBDT0096,1,1,,12,,,,,
MBDT0098,1,1,,12,,,,,
MBE0074,1,1,,12,,,,,
MBE0075,1,1,,12,,,,,
MBGE0001,1,1,,12,,,,,
MBGE0002,1,1,,12,,,,,
MBGE0003,1,1,,12,,,,,
MBGE0004,1,1,,12,,,,,
MBGE0005,1,1,,12,,,,,
MBGE0006,1,1,,12,,,,,
MBGE0007,1,1,,12,,,,,
MBGE0008,1,1,,12,,,,,
MBGE0010,1,1,,12,,,,,
MBGE0011,1,1,,12,,,,,
MBGE0012,1,1,,12,,,,,
MBGE0013,1,1,,12,,,,,
MBH0042,1,1,,12,,,,,
MBHIC0239,1,1,,12,,,,,
MBHIC0296,1,1,,12,,,,,
MBHIC0298,1,1,,12,,,,,
MBHIC0353,1,1,,12,,,,,
MBKE0082,1,1,,12,,,,,
MBKH0051,1,1,,12,,,,,
MBMDE050106000000404,1,1,,12,,,,,
MBME0001,1,1,,12,,,,,
MBME0003,1,1,,12,,,,,
MBME0004,1,1,,12,,,,,
MBMIHI33,1,1,,12,,,,,
MBMS0062,1,1,,12,,,,,
MBMS0063,1,1,,12,,,,,
MBMW0028,1,1,,12,,,,,
MBN0116,1,1,,12,,,,,
MBN0117,1,1,,12,,,,,
MBN0124,1,1,,12,,,,,
MBN0125,1,1,,12,,,,,
MBN0126,1,1,,12,,,,,
MBN0127,1,1,,12,,,,,
MBNIPRO025,1,1,,12,,,,,
MBPHM01BSACTORR000015,1,1,,12,,,,,
MBPHM01BSYPDRRD000026,1,1,,12,,,,,
MBPHM01BTABALKM000021,1,1,,12,,,,,
MBPHM01BTABJBCP000007,1,1,,12,,,,,
MBPHM01BTABSUNP000009,1,1,,12,,,,,
MBPHM01BTABSUNP000017,1,1,,12,,,,,
MBPHM01BTABSUNP000031,1,1,,12,,,,,
MBPHM01BTABSWIS000001,1,1,,12,,,,,
MBPHM01BTABSYTO000004,1,1,,12,,,,,
MBPHM01BTABTORR000017,1,1,,12,,,,,
MBPHM01BTABTORR000022,1,1,,12,,,,,
MBPHM01BTABZYDU000758,1,1,,12,,,,,
MBPHM01CTABTORR000039,1,1,,12,,,,,
MBPHM01DTABCIPL000041,1,1,,12,,,,,
MBPHM01DTABINVI000001,1,1,,12,,,,,
MBPHM01ETABBLUE000011,1,1,,12,,,,,
MBPHM01FTABABBT000036,1,1,,12,,,,,
MBPHM01GTABELDR000001,1,1,,12,,,,,
MBPHM01HTABABBT000048,1,1,,12,,,,,
MBPHM01HTABLARN000018,1,1,,12,,,,,
MBPHM01HTABSAZY000002,1,1,,12,,,,,
MBPHM01HTABTORR000061,1,1,,12,,,,,
MBPHM01ISACWINM000006,1,1,,12,,,,,
MBPHM01ITABSNFI000012,1,1,,12,,,,,
MBPHM02BTABINTA000097,1,1,,12,,,,,
MBPHM02BTABSUNP000137,1,1,,12,,,,,
MBPHM02BTABTORR000083,1,1,,12,,,,,
MBPHM02BTABTORR000150,1,1,,12,,,,,
MBPHM02BTABUSVI000027,1,1,,12,,,,,
MBPHM02BTABUSVI000028,1,1,,12,,,,,
MBPHM02CTABLUPN000116,1,1,,12,,,,,
MBPHM02CTABSERD000008,1,1,,12,,,,,
MBPHM02CTABSUNP000159,1,1,,12,,,,,
MBPHM02CTABTORR000161,1,1,,12,,,,,
MBPHM02CTABTORR000162,1,1,,12,,,,,
MBPHM02DGELZYDU000108,1,1,,12,,,,,
MBPHM02DOINZYDU000104,1,1,,12,,,,,
MBPHM02DTABABBT000139,1,1,,12,,,,,
MBPHM02DTABASZE000007,1,1,,12,,,,,
